순위,단어,품사,초성,은이-는가
4405,김,명,ㄱ,0
7720,김밥,명,ㄱㅂ,0
2207,김치,명,ㄱㅊ,1
16599,김치찌개,명,ㄱㅊㅉㄱ,1
5000,김포공항,고,ㄱㅍㄱㅎ,0
3224,깊이,명,ㄱㅇ,1
954,까닭,명,ㄲㄷ,0
26135,까만색,명,ㄲㅁㅅ,0
5872,까치,명,ㄲㅊ,1
5000,깍두기,명,ㄲㄷㄱ,1
9501,깡패,명,ㄲㅍ,1
4329,깨달음,명,ㄲㄷㅇ,0
6375,깨소금,명,ㄲㅅㄱ,0
4262,껌,명,ㄲ,0
2309,껍질,명,ㄲㅈ,0
1828,꼬리,명,ㄲㄹ,1
4407,꼬마,명,ㄲㅁ,1
3796,꼭대기,명,ㄲㄷㄱ,1
1176,꼴,명,ㄲ,0
470,꽃,명,ㄲ,0
9951,꽃씨,명,ㄲㅆ,1
6761,꽃잎,명,ㄲㅇ,0
6031,꾸중,명,ㄲㅈ,0
4982,꿀,명,ㄲ,0
535,꿈,명,ㄲ,0
5873,꿈속,명,ㄲㅅ,0
4496,끈,명,ㄲ,0
333,끝,명,ㄲ,0
6033,끼,명,ㄲ,1
8,나,대,ㄴ,1
6559,나들이,명,ㄴㄷㅇ,1
226,나라,명,ㄴㄹ,1
1290,나머지,명,ㄴㅁㅈ,1
540,나무,명,ㄴㅁ,1
4047,나물,명,ㄴㅁ,0
3225,나뭇가지,명,ㄴㅁㄱㅈ,1
4778,나뭇잎,명,ㄴㅁㅇ,0
5874,나비,명,ㄴㅂ,1
429,나이,명,ㄴㅇ,1
1018,나중,명,ㄴㅈ,0
3265,나침반,명,ㄴㅊㅂ,0
11024,나흘,명,ㄴㅎ,0
5328,낙엽,명,ㄴㅇ,0
2278,낚시,명,ㄴㅅ,1
9505,낚시꾼,명,ㄴㅅㄲ,0
9075,낚싯대,명,ㄴㅅㄷ,1
4589,난리,명,ㄴㄹ,1
9957,난방,명,ㄴㅂ,0
143,날,명,ㄴ,0
2073,날개,명,ㄴㄱ,1
1291,날씨,명,ㄴㅆ,1
2994,날짜,명,ㄴㅉ,1
360,남,명,ㄴ,0
6380,남,명,ㄴ,0
8324,남,명,ㄴ,0
1068,남녀,명,ㄴㄴ,1
5000,남대문,고,ㄴㄷㅁ,0
5000,남대문시장,고,ㄴㄷㅁㅅㅈ,0
9077,남동생,명,ㄴㄷㅅ,0
4590,남매,명,ㄴㅁ,1
5000,남미,고,ㄴㅁ,1
2310,남부,명,ㄴㅂ,1
5876,남북,명,ㄴㅂ,0
5000,남산,고,ㄴㅅ,0
742,남성,명,ㄴㅅ,0
154,남자,명,ㄴㅈ,1
1598,남쪽,명,ㄴㅉ,0
255,남편,명,ㄴㅍ,0
5594,남학생,명,ㄴㅎㅅ,0
5189,낭비,명,ㄴㅂ,1
1184,낮,명,ㄴ,0
4875,낱말,명,ㄴㅁ,0
10449,내과,명,ㄴㄱ,1
1941,내년,명,ㄴㄴ,0
6195,내달,명,ㄴㄷ,0
1190,내부,명,ㄴㅂ,1
5191,내외,명,ㄴㅇ,1
4876,내외,명,ㄴㅇ,1
212,내용,명,ㄴㅇ,0
9963,내용물,명,ㄴㅇㅁ,0
1270,내일,명,ㄴㅇ,0
7728,내적,명,ㄴㅈ,0
26255,내후년,명,ㄴㅎㄴ,0
4877,냄비,명,ㄴㅂ,1
1061,냄새,명,ㄴㅅ,1
9080,냇물,명,ㄴㅁ,0
4121,냉동,명,ㄴㄷ,0
13192,냉면,명,ㄴㅁ,0
20268,냉방,명,ㄴㅂ,0
3311,냉장고,명,ㄴㅈㄱ,1
100,너,대,ㄴ,1
2231,너머,명,ㄴㅁ,1
1588,너희,대,ㄴㅎ,1
8328,네거리,명,ㄴㄱㄹ,1
6766,넥타이,명,ㄴㅌㅇ,1
6980,넷,수,ㄴ,0
6198,넷째,수,ㄴㅉ,1
547,노동,명,ㄴㄷ,0
792,노동자,명,ㄴㄷㅈ,1
8329,노란색,명,ㄴㄹㅅ,0
487,노래,명,ㄴㄹ,1
3977,노래방,명,ㄴㄹㅂ,0
7474,노랫소리,명,ㄴㄹㅅㄹ,1
494,노력,명,ㄴㄹ,0
